#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Milton?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years),
1,Fence Vol 1,C.S. Pacat,Gay Fiction,No,No,English,112,Boston,No,!,Yes,Yes,No,"October 21, 2023",N/A,N/A,N/A,
,Bury My Heart At Wounded Knee,Dee Brown,Native Americans,Yes,Yes,English,509,Chicago,Yes!,Yes,Yes,Yes,Yes,"October 27, 2020","November 27, 2020",31,0.08493150685,
,In The Lives Of Puppets,T.J. Klune,Gay Fantasy,Yes,Yes,English,418,Boston,Yes,Yes,Yes,Yes,Yee,"April 25, 2023","August 18, 2023",115,0.3150684932,
2,Salad Days,Jing Shui Bian,Danmei,No,No,English,273,Boston,No,!,Yes,Yes,No,"July 20, 2023",N/A,N/A,N/A,
,The Devil's Highway,Luis Alberto Urrea,Modern History,No,Yes,English,235,Boston,Yes,Rec,Yes,Yes,!,"March 3, 2022",N/A,N/A,N/A,
4,The Galaxy And The Ground Within,Becky Chambers,Gay Science Fiction,No,Yes,English,324,Boston,Yes,Rec,Yes,Yes,Rec,"June 15, 2023",N/A,N/A,N/A,
,The Art Of War,Sun Tzu,China,No,Yes,English,128,Chicago,Yes!,Yes,Yes,Yes,Yes,"June 1, 2021",N/A,N/A,N/A,
,Don Quixote,Cervantes,Classic,No,Yes,English,942,Chicago,Yes,Rec,Yes,Yes,Yes,"July 1, 2019",N/A,N/A,N/A,
,Return To Dragon Mountain,Jonathan D. Spence,China,No,No,English,332,Chicago,No,!,Yes,Yes,No,"October 15, 2020",N/A,N/A,N/A,
,Good Omens,Terry Pratchett & Neil Gaiman,Fantasy,No,Yes,English,474,Boston,Yes,Yes,Yes,Yes,Yes,"October 5, 2022",N/A,N/A,N/A,
,Sex In History,Reay Tannehill,Gender Studies,No,No,English,426,Chicago,No,!,Yes,Yes,No,"October 17, 2019",N/A,N/A,N/A,
,The Year Of The Witching,Alexis Henderson,Horror,No,Yes,English,356,Boston,Yes,Yes,Yes,Yes,Yes,"March 12, 2023",N/A,N/A,N/A,
6,Midnight Ruin,Katee Robert,Gay Fantasy,Yes,Yes,English,304,Boston,Yes,Rec,Yes,Yes,Rec,"January 16, 2024","February 2, 2024",17,0.04657534247,
,Life Of Pi,Yann Martel,Fiction,Yes,Yes,English,460,Chicago,Yes,Yes,Yes,Yes,Yes,"March 23, 2021","March 23, 2021",0,0,
,Ellis Island Offical Souvenir Guide,B. Colin Hamblin,History,No,No,English,36,Chicago,No,!,Yes,Yes,No,"January 1, 2016",N/A,N/A,N/A,
,Sleep Paralysis,Shelly R. Adler,Textbook,Yes,No,English,136,Chicago,No,!,Yes,Yes,No,"February 1, 2018","February 1, 2018",0,0,
1,The Three Body Problem,Cixin Liu,Science Fiction,Yes,Yes,English,416,Boston,Yes,Rec,Yes,Yes,Yes,"May 5, 2021","May 4, 2023",729,1.997260274,
,The God Delusion,Richard Dawkins,Religion,Yes,Yes,English,420,Chicago,Yes,Yes,Yes,Yes,Yes,"October 17, 2019",,-43755,-119.8767123,
1,Crazy Rich Asians,Kevin Kwan,Fiction,Yes,Yes,English,559,Chicago,Yes,Yes,Yes,Yes,Yes,"June 8, 2020","June 8, 2020",0,0,
2,Remnants Of Filth Vol 2,Rou Bao Bu Chi Rou,Danmei,No,No,English,365,Boston,No,!,Yes,Yes,No,"October 11, 2023",N/A,N/A,N/A,
,Becoming,Michelle Obama,Memior,Yes,Yes,English,426,Chicago,Yes,Yes,Yes,Yes,Yes,"March 23, 2021","September 28, 2021",189,0.5178082192,
1,Salad Days,Jing Shui Bian,Danmei,No,No,English,271,Boston,No,!,Yes,Yes,No,"July 20, 2023",N/A,N/A,N/A,
,The Memory Librarian,Janelle Monae,Gay Science Fiction,Yes,Yes,English,313,Boston,Yes,Yes,Yes,Yes,Yes,"January 5, 2023","February 28, 2023",54,0.1479452055,
,China,"Damian Harper, Piera Chen, Megan Eaves, & David Eimer",Travel,Yes,No,English,1036,Chicago,No,!,Yes,Yes,No,"July 1, 2018","July 1, 2018",0,0,
,The Way To Rainy Mountain,N. Scott Monaday,Native Americans,Yes,No,English,89,Chicago,No,No,No,No,No,"January 1, 2016","November 30, 2019",1429,3.915068493,
2,The Tale of Genji vol 2,Murasaki Shikibu,Classic,No,Yes,English,569,Chicago,Yes,Rec,Rec,Yes,!,"July 20, 2020",N/A,N/A,N/A,
,Camp Damascus,Chunk Tingle,Horror,Yes,Yes,English,246,Boston,Yes,Rec,Yes,Yes,Rec,"August 26, 2023","January 18, 2024",145,0.397260274,
,If Walls Could Talk,Lucy Worsley,History,Yes,Yes,English,325,Chicago,Yes,Rec,Yes,!,!,"October 17, 2019",,-43755,-119.8767123,
,The Language Construction Kit,Mark Rosenfelder,Textbook,Yes,No,English,249,Chicago,No,No,No,No,No,"February 1, 2019","February 1, 2019",0,0,
,The Cher Show,Many,Theatre,Yes,No,English,33,Chicago,No,No,No,No,No,"July 20, 2019","July 20, 2019",0,0,
4,Treason's Shore,Sherwood Smith,Fantasy,No,No,English,770,Chicago,No,No,No,No,No,"June 1, 2021",N/A,N/A,N/A,
,The Rape Of Nanking,Iris Chang,China,Yes,Yes,English,290,Chicago,Yes!,Rec,Yes,!,Yes,"November 27, 2020","November 27, 2020",0,0,
,Fidel Castro,Robert E. Quirk,South American History,No,No,English,840,Chicago,No,!,Yes,Yes,No,"July 30, 2022",N/A,N/A,N/A,
1,A Memory Called Empire,Arkady Martine,Gay Fantasy,Yes,Yes,English,448,Boston,Yes,Rec,Yes,Yes,Yes,"May 6, 2022","January 30, 2023",269,0.7369863014,
,Lab Girl,Hope Jahren,Memior,Yes,Yes,English,282,Chicago,Yes,Yes,Yes,Yes,Yes,"March 31, 2020","October 30, 2020",213,0.5835616438,
1,Godkiller ,Hannah Kaner,Gay Fantasy,No,Yes,English,288,Boston,Yes,Rec,Yes,Yes,Yes,"October 8, 2023",N/A,N/A,N/A,
,Genghis Khan And The Quest For God,Jack Weatherford,Biography,Yes,Yes,English,356,Chicago,Yes,Rec,Yes,Yes,!,"February 20, 2020","August 10, 2021",537,1.471232877,
,Muhammad A Prophet For Our Times,Karen Armstrong,Religion,No,Yes,English,214,Chicago,Yes,Rec,Rec,Yes,!,"August 1, 2018",N/A,N/A,N/A,
,The Woman Warrior,Maxine Hong Kingston,Memior,No,Yes,English,209,Boston,Yes!,No,No,No,No,"October 1, 2022",N/A,N/A,N/A,
1,Kushiel's Dart,Jacqueline Carey,Gay Fantasy,No,Yes,English,654,Boston,Yes,Rec,Yes,Yes,Rec,"June 3, 2023",N/A,N/A,N/A,
,Born A Crime,Trevor Noah,Memior,Yes,Yes,English,289,Chicago,Yes!,!,Yes,Yes,No,"October 1, 2020","October 28, 2020",27,0.07397260274,
3,Dragon Bones,Lisa See,Historical Fiction,No,Yes,English,343,Chicago,Yes,Rec,Yes,Yes,!,"May 3, 2022",N/A,N/A,N/A,
,Lincoln And Medicine,Glenna R. Schoeder-Lein,Civil War,Yes,No,English,89,Chicago,No,!,Yes,Yes,No,"August 1, 2018","January 6, 2022",1254,3.435616438,
,Wild Swans,Jung Chang,China,Yes,Yes,English,508,Chicago,Yes,Rec,Yes,Yes,!,"November 15, 2019","May 24, 2020",191,0.5232876712,
,"I, Rigoberta Menchu",Rigoberta Menchu,South American History,Yes,Yes,English,289,Boston,Yes,Rec,Yes,Yes,!,"August 31, 2022","November 13, 2022",74,0.202739726,
,The Lost Dreamer,Lizz Huerta,Fantasy,No,Yes,English,376,Boston,Yes,Rec,Yes,Yes,Yes,"October 30, 2022",N/A,N/A,N/A,
1,The Keeper Of Night,Kylie Lee Baker,Fantasy,No,Yes,English,364,Boston,Yes,Rec,Yes,Yes,Rec,"October 30, 2023",N/A,N/A,N/A,
1,Once And Future,Cory McCarthy & A.R. Capetta,Gay Science Fiction,Yes,Yes,English,349,Boston,Yes,Rec,Yes,Yes,Yes,"December 21, 2023","January 2, 2024",12,0.03287671233,
,Emmett,L.C. Rosen,Gay Fiction,No,Yes,English,259,Boston,Yes,Rec,Rec,Rec,Rec,"November 19, 2023",N/A,N/A,N/A,
,The Terror,Dan Simmons,Horror,No,Yes,English,766,Boston,Yes,Yes,Yes,Yes,Rec,"April 7, 2022",N/A,N/A,N/A,
,A Thousand Miles To Freedom,Eunsun Kim & Sebastien Falletti,Memior,Yes,Yes,English,228,Chicago,Yes,Rec,Yes,!,!,"July 20, 2019","August 31, 2019",42,0.1150684932,
,White Fragility,Robin Diangelo,Race Relations,Yes,Yes,English,154,Chicago,Yes,Yes,Yes,Yes,Yes,"October 1, 2020","October 28, 2020",27,0.07397260274,
,The Man Who Touched His Own Heart,Rob Dunn,Science,No,Yes,English,329,Chicago,Yes,Rec,Rec,Yes,!,"February 20, 2020",N/A,N/A,N/A,
,The Importance Of Being Ernest,Oscar Wilde,Play,No,Yes,English,76,Boston,Yes,No,No,No,No,"January 4, 2021",N/A,N/A,N/A,
3,Record Of A Spaceborn Few,Becky Chambers,Gay Science Fiction,Yes,Yes,English,358,Boston,Yes,Rec,Yes,Yes,Yes,"January 4, 2023","May 15, 2023",131,0.3589041096,
,In The Time Of The Butterflies,Julia Alvarez,Historical Fiction,Yes,Yes,English,321,Boston,Yes,Rec,Yes,Yes,!,"July 2, 2022","September 14, 2022",74,0.202739726,
1,Son Of The Storm,Suyi Davies Okungbowa,Fantasy,No,Yes,English,446,Boston,Yes,Rec,Yes,Yes,!,"July 3, 2022",N/A,N/A,N/A,
,Godly Heathens,H.E. Edgmon,Gay Fiction,No,Yes,English,381,Boston,Yes,Rec,Yes,Rec,Rec,"November 29, 2023",N/A,N/A,N/A,
3,Ptolemy's Gate,Jonathan Stroud,Fantasy,Yes,Yes,English,501,Boston,Yes,Yes,Yes,Yes,!,"October 17, 2019","October 17, 2019",0,0,
,World Of Wonders,Aimee Nezhukumatathil,Memior,Yes,Yes,English,165,Boston,Yes!,No,No,No,No,"June 19, 2022","November 6, 2022",140,0.3835616438,
2,Cursed,Marissa Meyer,Fantasy,No,Yes,English,485,Boston,Yes,Yes,Yes,Yes,Yes,"November 27, 2022",N/A,N/A,N/A,
1,The Principle Of Moments,Esmie Jikiemi-Pearson,Gay Science Fiction,No,,English,501,Boston,,,,,,"December 18, 2023",N/A,N/A,N/A,
,A History Of The World In 6 Glasses,Tom Standage,History,Yes,Yes,English,274,Boston,Yes,Rec,Yes,Yes,Rec,"July 2, 2022","August 16, 2023",410,1.123287671,
,Saving Fish From Drowning,Amy Tan,Historical Fiction,No,Yes,English,474,Chicago,Yes,!,Yes,Yes,No,"February 21, 2021",N/A,N/A,N/A,
,The Motorcycle Diaries,Ernesto Che Guevara,South American History,No,Yes,English,155,Chicago,Yes!,No,No,No,No,"July 28, 2022",N/A,N/A,N/A,
,Homo Deus,Yuval Noah Harari,Anthropology,Yes,Yes,English,402,Chicago,Yes!,Yes,Yes,Yes,Yes,"July 12, 2021","February 19, 2022",222,0.6082191781,
,This Is How You Lose The Time War,Amal El-Mohar & Max Gladstone,Gay Fantasy,No,Yes,English,198,Boston,Yes,Yes,Yes,Yes,Rec,"July 3, 2022",N/A,N/A,N/A,
3,Brisingr,Christopher Paolini,Fantasy,Yes,Yes,English,748,Boston,Yes,Yes,Yes,Yes,Yes,"October 17, 2019","October 17, 2019",0,0,
1,The Husky And His White Cat Shizun Vol 2,Rou Bao Bu Chi Rou,Danmei,No,No,English,479,Boston,No,No,No,No,No,"January 24, 2023",N/A,N/A,N/A,
,Black Earth,Timothy Snyder,WWII,No,Yes,English,344,Chicago,Yes,Rec,Yes,Yes,!,"July 28, 2022",N/A,N/A,N/A,
1,Remnants Of Filth Vol 1,Rou Bao Bu Chi Rou,Danmei,Yes,No,English,384,Boston,No,!,Yes,Yes,No,"April 25, 2023","July 9, 2023",75,0.2054794521,
,The Duchess,Amanda Foreman,Biography,No,Yes,English,385,Chicago,Yes,Rec,Rec,Yes,!,"January 1, 2016",N/A,N/A,N/A,
,Aztec And Maya,Charels Philips,Native Americans,No,No,English,501,Boston,No,!,Yes,Yes,No,"January 1, 2016",N/A,N/A,N/A,
,Cincinnati Goes to War,Many,Travel,No,No,English,94,Chicago,No,!,Yes,Yes,No,"April 25, 2020",N/A,N/A,N/A,
,Night,Elie Wiesel,WWII,Yes,Yes,English,115,Chicago,Yes!,Rec,Yes,Yes,Yes,"July 1, 2019","July 1, 2019",0,0,
1,1491,Charels C. Mann,Native Americans,Yes,Yes,English,416,Chicago,Yes,Rec,Yes,Yes,!,"July 1, 2019","November 19, 2021",872,2.389041096,
,Little Princes,Conor Grennan,Memior,Yes,Yes,English,282,Chicago,Yes,Rec,Yes,Yes,!,"July 1, 2019","August 31, 2019",61,0.1671232877,
,Mrs. Lincoln And Mrs. Keckly,Jennifer Fleischner,Civil War,No,No,English,325,Chicago,No,!,Yes,Yes,No,"July 30, 2022",N/A,N/A,N/A,No
,Killers of the Flower Moon,David Grann,American History,No,Yes,English,321,Boston,Yes,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A,
,Anthropology And Religion,Robert L. Winzeler,Textbook,Yes,No,English,280,Chicago,No,!,Yes,Yes,No,"September 1, 2019","September 1, 2019",0,0,
2,Lord Of Silver Ashes,Kellen Graves,Gay Fantasy,No,No,English,469,Boston,No,!,Yes,Yes,No,"July 9, 2023",N/A,N/A,N/A,
3,Kings Rising,C.S. Pacat,Gay Fantasy,Yes,Yes,English,341,Boston,Yes!,!,Yes,Yes,No,"November 23, 2022","December 17, 2022",24,0.06575342466,
,John Adams,David McCullough,American History,Yes,Yes,English,651,Chicago,Yes,Rec,Yes,Yes,Yes,"October 17, 2019","January 29, 2020",104,0.2849315068,
,Oracle Bones,Peter Hessler,China,No,Yes,English,458,Boston,Yes!,!,Yes,Yes,No,"July 20, 2020",N/A,N/A,N/A,
,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Gay Fiction,No,Yes,English,359,Boston,Yes,Yes,Yes,Yes,Yes,"May 3, 2023",N/A,N/A,N/A,
,"Detransition, Baby",Torrey Peters,Gay Fiction,Yes,Yes,English,335,Boston,Yes!,Rec,Yes,Yes,Yes,"May 6, 2022","March 25, 2023",323,0.8849315068,
,The Search For Modern China,Jonathan D. Spence,China,No,Yes,English,747,Chicago,Yes,Rec,Rec,Yes,!,"May 5, 2021",N/A,N/A,N/A,
1,Dances with Wolves,Michael Blake,Historical Fiction,No,Yes,English,320,Chicago,Yes,Rec,Yes,Yes,!,"February 20, 2020",N/A,N/A,N/A,
2,The Dragon Republic,R.F. Kuang,Fantasy,Yes,Yes,English,654,Boston,Yes,Yes,Yes,Yes,!,"December 28, 2021","September 5, 2023",616,1.687671233,
,Cemetery Boys,Aiden Thomas,Gay Fantasy,Yes,Yes,English,344,Chicago,Yes,Yes,Yes,Yes,Yes,"February 21, 2021","April 11, 2021",49,0.1342465753,
,Founder's Son,Richard Brookhiser,Civil War,No,Yes,English,305,Chicago,Yes,Rec,Rec,Yes,!,"February 20, 2020",N/A,N/A,N/A,
,There There,Tommy Orange,Fiction,Yes,Yes,English,290,Chicago,Yes,Yes,Yes,Yes,Yes,"March 31, 2020","November 30, 2020",244,0.6684931507,
,Harriet Beecher Stowe,Joan D. Hedrick,American History,Yes,No,English,398,Chicago,No,!,Yes,Yes,No,"November 15, 2019",,-43784,-119.9561644,
,1858,Bruce Chadwick,Civil War,Yes,No,English,300,Chicago,No,!,Yes,Yes,No,"January 1, 2016","November 29, 2020",1794,4.915068493,
,The Good Women Of China,Xinran,China,Yes,No,English,242,Chicago,No,No,No,No,No,"July 1, 2019","May 11, 2020",315,0.8630136986,
2,The Tombs Of Atuan,Ursula K. Le Guin,Fantasy,Yes,Yes,English,212,Boston,Yes,Yes,Yes,Yes,Yes,"August 20, 2022","December 23, 2022",125,0.3424657534,
,Through A Window,Jane Goodall,Science,No,Yes,English,291,Chicago,Yes,Rec,Rec,Yes,Rec,"October 17, 2019",N/A,N/A,N/A,
1,Inda,Sherwood Smith,Fantasy,No,No,English,612,Chicago,No,!,Yes,Yes,No,"June 1, 2021",N/A,N/A,N/A,
,Smithsonian Civil War,?,Civil War,No,No,English,,Chicago,No,!,Yes,Yes,No,"July 1, 2019",N/A,N/A,N/A,
1,Girls Of Paper And Fire,Natasha Ngan,Gay Fantasy,Yes,Yes,English,391,Chicago,Yes,Yes,Yes,Yes,Yes,"May 31, 2021","May 21, 2022",355,0.9726027397,
1,The Scarlet Alchemist,Kylie Lee Baker,Fantasy,No,Yes,English,424,Boston,Yes,Rec,Yes,Rec,Rec,"October 3, 2023",N/A,N/A,N/A,
,Hunt On Dark Waters,Katee Robert,Fiction,No,Yes,English,,Boston,Yes,Rec,Yes,Yes,Yes,"November 24, 2023",N/A,N/A,N/A,
,Kindred,Rebecca Wragg Sykes,Anthropology,No,Yes,English,386,Boston,Yes!,!,Yes,Yes,No,"April 7, 2022",N/A,N/A,N/A,
2,In The Dark Vol 2,Jin Shisi Chai,Danmei,No,No,English,334,Boston,No,!,Yes,Yes,No,"October 23, 2023",N/A,N/A,N/A,
,One Last Stop,Casey McQuiston,Gay Fiction,Yes,Yes,English,417,Boston,Yes,Yes,Yes,Yes,Yes,"June 19, 2022","October 17, 2022",120,0.3287671233,
2,A Touch Of Ruin,Scarlett St. Clair,Fantasy,Yes,Yes,English,437,Boston,Yes,Rec,Yes,Yes,Yes,"August 4, 2023","August 7, 2023",3,0.008219178082,
,El Greco,Antonina Vallentin,Art,No,No,English,294,Chicago,No,!,Yes,Yes,No,"July 28, 2022",N/A,N/A,N/A,
,The House in the Cerulean Sea,T.J. Klune,Gay Fantasy,Yes,Yes,English,396,Chicago,Yes,Yes,Yes,Yes,Yes,"June 2, 2022","July 14, 2022",42,0.1150684932,
1,Six Of Crows,Leigh Bardugo,Gay Fantasy,Yes,Yes,English,465,Boston,Yes!,!,Yes,Yes,No,"May 7, 2021","August 27, 2022",477,1.306849315,
2,Golden Terrace Vol 2,Cang Wu Bin Bai,Danmei,No,No,English,399,Boston,No,!,Yes,Yes,No,"April 18, 2023",N/A,N/A,N/A,
2,The Scum Villain's Self-Saving System Vol 2,Mo Xiang Tong Xiu,Danmei,Yes,No,English,302,Boston,No,No,No,No,No,"April 19, 2022","July 24, 2022",96,0.2630136986,
,Out Of The Blue,Jason June,Gay Fantasy,No,Yes,English,375,Boston,Yes,Rec,Yes,Yes,Rec,"July 8, 2023",N/A,N/A,N/A,
,Different,Frans de Waal,Gender Studies,No,Yes,English,317,Boston,Yes,Rec,Rec,Yes,Rec,"July 13, 2022",N/A,N/A,N/A,
2,King Of Immortal Tithe,Ben Alderson,Gay Fantasy,Yes,Yes,English,405,Boston,Yes,Rec,Yes,Rec,Rec,"June 24, 2023","July 10, 2023",16,0.04383561644,
,The Beautiful Something Else,Ash Van Otterloo,Gay Fiction,No,Yes,English,271,Boston,Yes,Rec,Rec,Yes,Rec,"October 30, 2023",N/A,N/A,N/A,
,I Am Not Your Perfect Mexican Daughter,Erika L. Sanchez,Fiction,No,Yes,English,340,Chicago,Yes,Rec,Yes,Yes,Yes,"July 28, 2022",N/A,N/A,N/A,
,Belle,Paula Byrne,History,No,No,English,304,Chicago,No,!,Yes,Yes,No,"January 4, 2021",N/A,N/A,N/A,
,Women's Work,Megan K. Stack,Memior,No,Yes,English,352,Chicago,Yes,Rec,Rec,Yes,Yes,"October 1, 2020",N/A,N/A,N/A,
,Two Lives,Vikram Seth,WWII,No,Yes,English,503,Chicago,Yes,Rec,Rec,Yes,!,"January 1, 2016",N/A,N/A,N/A,
,Flu,Gina Kolata,Science,No,Yes,English,306,Chicago,Yes,!,Yes,Yes,No,"July 28, 2022",N/A,N/A,N/A,
,The Massacre At El Mozote,Mark Danner,South American History,No,No,English,320,Boston,No,No,No,No,No,"November 15, 2020",N/A,N/A,N/A,
,"Girl, Woman, Other",Bernardine Evaristo,Gay Fiction,No,Yes,English,452,Boston,Yes!,Rec,Yes,Yes,Yes,"October 10, 2022",N/A,N/A,N/A,
,My Friend Dahmer,Derf Backderf,Memior,Yes,No,English,224,Chicago,No,!,Yes,Yes,No,"January 1, 2016","January 1, 2016",0,0,
,Spell Bound,F.T. Lukens,Gay Fantasy,No,Yes,English,323,Boston,Yes,Yes,Yes,Yes,Yes,"June 3, 2023",N/A,N/A,N/A,
,The Marrow Thieves,Cherie Dimaline,Fiction,No,Yes,English,231,Boston,Yes,Rec,Rec,Yes,Yes,"October 30, 2023",N/A,N/A,N/A,
3,In The Dark Vol 3,Jin Shisi Chai,Danmei,No,No,English,385,Boston,No,!,Yes,Yes,No,"October 23, 2023",N/A,N/A,N/A,
,Perfect Nightmare,John Saul,Horror,No,Yes,English,365,Boston,Yes,!,Yes,Yes,No,"November 9, 2021",N/A,N/A,N/A,
,The Art Of Happiness,Dalai Lama & Howard C. Cutler,Religion,No,Yes,English,319,Chicago,Yes,Rec,Yes,Yes,Rec,"June 1, 2021",N/A,N/A,N/A,
,The Pearl,John Steinbeck,Classic,Yes,Yes,English,90,Chicago,Yes,Rec,Yes,Yes,Yes,"February 20, 2020","April 5, 2020",45,0.1232876712,
,Math And The Mona Lisa,Bulent Atalay,Art,No,No,English,282,Chicago,No,!,Yes,Yes,No,"October 17, 2019",N/A,N/A,N/A,
3,Rich People Problems,Kevin Kwan,Fiction,Yes,Yes,English,590,Chicago,Yes,Yes,Yes,Yes,Yes,"June 20, 2020","August 11, 2020",52,0.1424657534,
1,The Adventures Of Amina Al-Sirafi,S.A. Chakraborty,Fantasy,No,Yes,English,470,Boston,Yes,Rec,Yes,Yes,Yes,"December 9, 2023",N/A,N/A,N/A,
1,Fourth Wing,Rebecca Yarros,Fantasy,Yes,Yes,English,498,Boston,Yes,Yes,Yes,Yes,Yes,"December 9, 2023","January 24, 2024",46,0.1260273973,
,Lone Women,Victor Lavalle,Horror,No,Yes,English,281,Boston,Yes,Yes,Yes,Yes,Yes,"December 9, 2023",N/A,N/A,N/A,
,Yellowface,R.F. Kuang,Fiction,Yes,Yes,English,319,Boston,Yes,Yes,Yes,Yes,Yes,"December 9, 2023","January 5, 2024",27,0.07397260274,
,The Joy Luck Club,Amy Tan,Fiction,Yes,Yes,English,288,Chicago,Yes!,Rec,Yes,Yes,Yes,"December 4, 2020","December 24, 2020",20,0.05479452055,No
2,Ten Thousand Lights: Crimson Dawn,Yisei Ishkhan,Gay Fantasy,No,No,English,542,Boston,No,No,No,No,No,"December 4, 2023",N/A,N/A,N/A,
,Bad Gays,Huw Lemmey & Ben Miller,History,Yes,Yes,English,309,Boston,Yes,Rec,Rec,Yes,Yes,"December 5, 2022","February 3, 2023",60,0.1643835616,
,Isabella Stewart Gardner Museum,"Christina Nielsen, Casey Riley, & Nathaniel Silver",Art,No,No,English,199,Boston,No,!,Yes,Yes,No,"December 3, 2023",N/A,N/A,N/A,
1,Lord Of Eternal Night,Ben Alderson,Gay Fantasy,Yes,Yes,English,290,Boston,Yes,Rec,Yes,!,Rec,"April 28, 2023","June 14, 2023",47,0.1287671233,
1,Little Mushroom: Judgment day,Shisi,Danmei,Yes,No,English,400,Boston,No,!,Yes,Yes,No,"May 14, 2023","December 8, 2023",208,0.5698630137,
3,Alpha Of Mortal Flesh,Ben Alderson,Gay Fantasy,No,Yes,English,512,Boston,Yes,Rec,Rec,Rec,Rec,"August 8, 2023",N/A,N/A,N/A,
2,Dreams Of Joy,Lisa See,Historical Fiction,No,Yes,English,354,Boston,Yes,Yes,Yes,Yes,Yes,"October 27, 2020",N/A,N/A,N/A,
,Hell Followed With Us,Andrew Joseph White,Gay Science Fiction,Yes,Yes,English,398,Boston,Yes,Rec,Yes,Yes,!,"November 5, 2022","April 14, 2023",160,0.4383561644,
,The Water Dancer,Ta-Nehisi Coates,Historical Fiction,No,Yes,English,403,Boston,Yes,Yes,Yes,Yes,Yes,"December 3, 2022",N/A,N/A,N/A,
,Schindler's List,Thomas Keneally,Historical Fiction,No,Yes,English,397,Chicago,Yes,Rec,Yes,Yes,!,"February 20, 2020",N/A,N/A,N/A,
0,The Hobbit,J.R.R. Tolkin,Fantasy,No,Yes,English,305,Chicago,Yes,Yes,Yes,Yes,Yes,"August 23, 2022",N/A,N/A,N/A,
,Devil In The White City,Erik Larson,American History,Yes,Yes,English,390,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019",,-43647,-119.5808219,
,Reborn,Seth Haddon,Gay Fantasy,No,No,English,337,Boston,No,!,Yes,Yes,No,"October 24, 2023",N/A,N/A,N/A,
,A Brief History Of The Human Race,Michael Cook,History,No,No,English,359,Chicago,No,!,Yes,Yes,No,"September 1, 2019",N/A,N/A,N/A,
,The Jinn-Bot Of Shantiport,Samit Basu,Science Fiction,No,No,English,399,Boston,No,No,No,No,No,"October 3, 2023",N/A,N/A,N/A,
,Gender Your Guide,Dr. Lee Airton,Gender Studies,Yes,No,English,214,Chicago,No,!,Yes,Yes,No,"July 20, 2019",,-43666,-119.6328767,
,Arsenic And Adobo,Mia P. Manansala,Mystery,Yes,Yes,English,295,Boston,Yes,Yes,Yes,Yes,!,"August 20, 2022","August 25, 2022",5,0.01369863014,
1,Ten Thousand Lights: Saffron Dusk,Yisei Ishkhan,Gay Fantasy,Yes,No,English,512,Boston,No,No,No,No,No,"May 14, 2023","August 8, 2023",86,0.2356164384,
,Little Women,Louisa May Alcott,Classic,Yes,Yes,English,520,Chicago,Yes,Yes,Yes,Yes,Yes,"January 1, 2010",,-40179,-110.0794521,
,Gulliver's Travels,Jonathan Swift,Classic,No,Yes,English,295,Chicago,Yes!,Rec,Yes,Yes,Yes,"July 1, 2019",N/A,N/A,N/A,No
,A Brief History Of Time Lords,Matt Kemp & Justin Richards,TV and movie,No,No,English,46,Boston,No,!,Yes,Yes,No,"January 1, 2016",N/A,N/A,N/A,
,Black Elk Speaks,John G. Neihardt,Native Americans,Yes,Yes,English,274,Chicago,Yes,Rec,Yes,!,!,"October 17, 2019","November 30, 2019",44,0.1205479452,
,Winter's Orbit,Everina Maxwell,Gay Science Fiction,Yes,Yes,English,428,Chicago,Yes,Rec,Yes,Yes,!,"March 15, 2022","May 14, 2022",60,0.1643835616,
,Great Expectations,Charles Dickens,Classic,Yes,Yes,English,493,Boston,Yes,Yes,Yes,Yes,Yes,"October 17, 2019","April 8, 2023",1269,3.476712329,
,Holy Bible,Many,Religion,Yes,Yes,English,1466,Chicago,Yes,Yes,Yes,No,Yes,"January 1, 2016","January 1, 2016",0,0,
,Lagoon,Nnedi Okorafor,Fantasy,No,Yes,English,304,Chicago,Yes,!,Yes,Yes,No,"July 2, 2022",N/A,N/A,N/A,
,The Missing Piece,Kun Yi Wei Lou,Danmei,No,No,English,308,Boston,No,No,No,No,No,"July 20, 2023",N/A,N/A,N/A,
,Live Long And Evolve,Mohamed A.F. Noor,Star Trek,No,Yes,English,155,Chicago,Yes,!,Yes,Yes,No,"July 1, 2019",N/A,N/A,N/A,
2,Electric Idol,Katee Robert,Gay Fiction,Yes,Yes,English,372,Boston,Yes,Rec,Yes,Yes,Rec,"November 23, 2022","April 27, 2023",155,0.4246575342,
4,Foundation's Edge,Issac Asimov,Science Fiction,No,Yes,English,377,Boston,Yes,Rec,Yes,Yes,!,"October 10, 2022",N/A,N/A,N/A,
,Coming Of Age In Samoa,Margaret Mead,Anthropology,No,No,English,170,Chicago,No,!,Yes,Yes,No,"May 5, 2021",N/A,N/A,N/A,
,Hamnet,Maggie O'Farrell,Historical Fiction,Yes,Yes,English,305,Boston,Yes,Yes,Yes,Yes,Yes,"October 10, 2022","August 30, 2023",324,0.8876712329,
3,Thousand Autumns Vol 3,Meng Xi Shi,Danmei,No,No,English,407,Boston,No,No,No,No,No,"January 2, 2024",N/A,N/A,N/A,
